"DSC Heritage","DSC Heritage","DSCH","DSC","developer students club heritage","developer club"
"RC-HITK","RC-HITK","Rotaract Club of Heritage Institute of technoloy kolkata","rotaract club of heritage","rotaract club","rotaract"
"Nss-HITK","Nss-HITK","NSS","NSS heriatge"
"ACM-HITK","ACM-HITK","ACM","Association for Computing Machinery"
"ED-Cell","ED-Cell","Entrepreneurship Development Cell"
"Pravasana","Prabhasvana","Prabhasna","Prabhasvana Heriatge","Prabhasvana HITK","Pravasana","Photography film and painting club","Photgraphy film and painting","Pravasana","Pravasana club"
"DEBSOC","DEBSOC","DEbating Club","debating club","debsoc heritage"
"Literary","Literary","Literary club"
"News","News","News Club","News Club of heritage"
"Geeks United","Geeks United","Geek","Geeks United club of Heritage"
"Flyers","Flyers","Flying club of heritage","flying"
"Fashion","Fashion","Fashion club","Fashion club of Hitk","Fashion club of heritage"
"Science","Science","Science Club of Heritage"
"HEGA","HEGA","Hega Club of heritage","HEGA Club"
"Gaming","Gaming","Gaming club"
"Sports","Sports","Sports Club","Sports club of heritage"
"Resonance","Resonance","rezonance","resonance club of HITK","Resonance Club","Music club of HITK","Music Club"
"Ghungroo","Ghungroo","Ghungroo club of Hitk","Ghungroo club","Dance club","Dance Club of Hitk","Dance club of heritage institute of technology"
"Atmadweep","Atmadweep","Atmadweep club","Atmdeep club","Atmdeep","Quiz Club"
